| TestDockGeometryShape | PASS (0.00s) | PASS (0.00s) |
| TestDockTangentMeansGapZero | PASS (0.00s) | PASS (0.00s) |
| TestDockPosKeepsTheOrbTangentAtEveryRampLevel | PASS (0.00s) | PASS (0.00s) |
| TestDockSquashIsMonotonicAndClamped | PASS (0.00s) | PASS (0.00s) |
| TestDockProgressReadsThePush | PASS (0.00s) | PASS (0.00s) |
| TestNearestDockEdgePicksTheEdgeYouPushed | PASS (0.00s) | PASS (0.00s) |
| TestDockedLeavesAHittableStrip | PASS (0.00s) | PASS (0.00s) |
| TestDockFreePosKeepsTheBallReachable | PASS (0.00s) | PASS (0.00s) |
| TestDockOnSecondaryMonitorWithNegativeOrigin | PASS (0.00s) | PASS (0.00s) |
| TestDockHoverPopBackWalksTheRampHome | PASS (0.00s) | PASS (0.00s) |
| TestDockRampWalksItsBudget | PASS (0.00s) | PASS (0.00s) |
| TestLiveHotkeyRebindEndToEnd | PASS (1.13s) | PASS (0.55s) |
| TestLiveHotkeyOccupiedVsNotAttempted | PASS (0.08s) | PASS (0.08s) |
| TestLiveMuteHotkeyEndToEnd | PASS (0.10s) | PASS (0.09s) |
| TestLiveSleepingZeroTimerHandles | PASS (1.60s) | PASS (1.59s) |
| TestRegisterAllLiveSet | PASS (0.00s) | PASS (0.00s) |
| TestRegisterAllSplitsFailureFamilies | PASS (0.00s) | PASS (0.00s) |
| TestUnregisterAllDropsKnownSlots | PASS (0.00s) | PASS (0.00s) |
| TestHotkeyStatusString | PASS (0.00s) | PASS (0.00s) |
| TestHotkeyReloaderRebindsOnConfigChange | PASS (0.00s) | PASS (0.00s) |
| TestHotkeyReloaderSectionsHookIgnoresOtherSections | PASS (0.00s) | PASS (0.00s) |
| TestApplyHotkeyDefaults | PASS (0.00s) | PASS (0.00s) |
| TestParseAccelerator | PASS (0.00s) | PASS (0.00s) |
| TestDefaultHotkeys | PASS (0.00s) | PASS (0.00s) |
| TestLiveClickSummonsAndDragDoesNot | PASS (0.07s) | PASS (0.08s) |
| TestLiveConfirmingCancelAndEscReturned | PASS (0.09s) | PASS (0.11s) |
| TestLiveNeverStealsFocus | PASS (0.24s) | PASS (0.23s) |
| TestLiveTransparentCornerFallsThrough | PASS (0.08s) | PASS (0.07s) |
| TestLiquidRotationIsMonotonicInLevel | PASS (0.00s) | PASS (0.00s) |
| TestLiquidConvergesAndBorderFadesInOnSilence | PASS (0.00s) | PASS (0.00s) |
| TestSummonBurstIsBoundedAndRetires | PASS (0.00s) | PASS (0.00s) |
| TestMotionOnlyAppliesInPrototypeMode | PASS (0.00s) | PASS (0.00s) |
| TestBorderIsNeverAppliedInOneFrame | PASS (0.00s) | PASS (0.00s) |
| TestBorderGlidesInAfterTheSessionEnds | PASS (0.00s) | PASS (0.00s) |
| TestSpeakingGlidesTheBorderBackOut | PASS (0.00s) | PASS (0.00s) |
| TestTransitionTimerSetIsTheFrozenTimerSet | PASS (0.00s) | PASS (0.00s) |
| TestSleepingFrameLosesTheBorderAuthority | PASS (0.00s) | PASS (0.00s) |
| TestLiquidDrivenStateSet | PASS (0.00s) | PASS (0.00s) |
| TestPushLevelIsInputHardened | PASS (0.00s) | PASS (0.00s) |
| TestRepaintIsSkippedWhenNothingChanged | PASS (0.00s) | PASS (0.00s) |
| TestBallLiveLifecycle | PASS (2.06s) | PASS (2.04s) |
| TestBallLivePositionPersistence | PASS (0.47s) | PASS (0.49s) |
| TestBallLiveIdleBorderTransition | PASS (4.46s) | PASS (4.41s) |
| TestBallLiveEdgeDock | PASS (0.34s) | PASS (0.35s) |
| TestBallLiveEdgeDockHover | PASS (0.30s) | PASS (0.29s) |
| TestBallLiveAudioLiquidGate | PASS (1.14s) | PASS (1.11s) |
| TestPositionStoreRoundTrip | PASS (0.01s) | PASS (0.01s) |
| TestResolvePosition | PASS (0.00s) | PASS (0.00s) |
| TestDefaultPositionInsideWorkArea | PASS (0.00s) | PASS (0.00s) |
| TestTokenGoldenValues | PASS (0.00s) | PASS (0.00s) |
| TestPremultipliedDerivation | PASS (0.00s) | PASS (0.00s) |
| TestNoHardcodedColorsInBallPackage | PASS (0.02s) | PASS (0.01s) |
| TestVisualForCoversAllTwentyStates | PASS (0.00s) | PASS (0.00s) |
| TestSleepingSizeTruthTable | PASS (0.00s) | PASS (0.00s) |
| TestRecordedSleepingDiffBoxIsNotA44pxBody | PASS (0.00s) | PASS (0.00s) |
| TestAnimatedWhitelist | PASS (0.00s) | PASS (0.00s) |
| TestAnimationPolicyZeroTimerInSleeping | PASS (0.00s) | PASS (0.00s) |
| TestHitTestAndDPIInjection | PASS (0.00s) | PASS (0.00s) |
